9626 26369
7998 6667 469
8913 2673 832
1291 6616 -589
6414 139 -786
8183 5613 383
2144 2985 50
2845 8482 716
6745 4663 -928
8011 9420 -990
677 1609 -178
741 821 -335
6834 6987 124
393 9222 -657
130 8470 893
923 27 -528
6179 1424 -441
7212 252 -86
3080 5663 301
4954 3882 -646
8383 5782 -867
3912 1380 -241
8238 7389 -235
1108 6515 975
9292 6667 72
4045 3850 728
2986 8864 54
3265 2048 976
8743 4223 -454
2429 6090 484
2175 3954 -911
8185 6360 -784
233 8339 2
2598 4098 -665
8988 4940 -777
9350 4061 848
936 7058 -173
2890 8610 -988
6056 5098 -804
805 8839 -924
4512 4593 -929
2255 4824 349
782 916 -815
1712 5787 304
6425 6635 410
3523 5896 397
7072 3031 -177
7980 9393 68
4060 4501 455
3449 2187 -239
262 4499 -390
3346 4228 -551
3160 2441 -5
8214 4030 -213
2713 730 -980
2057 1227 654
5393 5797 625
1492 6832 489
1304 2212 181
1779 5158 -396
3248 5507 691
5920 106 -874
8952 5549 15
5155 515 -876
3392 8093 18
3800 3994 786
8015 440 -567
4441 9064 624
3400 2886 -414
9579 3836 889
263 6185 -104
7302 9152 -212
9395 8600 611
3268 7425 254
5272 7258 536
870 5875 702
6024 4646 -111
1004 3727 -869
4204 5477 -199
8211 4069 709
8713 1347 -920
8232 7676 -697
3567 5471 561
5159 8497 848
3888 4769 -234
7347 5231 -788
5489 456 -560
1538 4768 -246
3537 6687 -328
4601 8063 -901
1864 7939 -228
227 6754 454
8950 1894 320
1463 3950 778
5517 6802 994
9235 6702 -206
6806 6604 -125
5149 7756 -10
4967 4399 924
320 3970 -309
2260 5194 541
636 2660 -978
689 3934 377
8323 3580 661
5441 1728 -198
1880 5074 -398
5315 3644 519
8773 5395 615
4110 3250 -849
8739 8893 498
503 8777 -887
9525 2601 258
2146 1008 -865
7652 6633 -208
9346 663 -432
4463 7556 -563
4822 4957 658
2372 8175 -543
9002 2926 -298
8767 2474 906
8198 4752 -278
4473 6220 838
5306 6441 216
7527 1633 -449
5897 9332 -588
5254 8095 714
6775 5789 -818
2151 6330 799
950 7925 -138
3568 2250 -260
1551 4548 594
743 4761 -950
8837 741 -129
7950 5756 641
3337 2769 384
2595 5337 488
9543 2356 -836
4627 3229 14
6529 3442 585
9394 8091 50
2424 6755 -363
7426 4983 922
8950 2580 -668
6707 1 79
3873 4508 533
9490 7878 -184
8520 7595 685
3063 7755 807
6724 7795 412
7023 8828 711
3366 8408 140
2328 1349 -577
3065 4155 -224
8847 3158 161
1229 7726 931
428 6484 147
548 2459 759
4393 2837 245
6527 6863 -509
4624 642 615
6824 6615 -954
4342 14 205
3045 8554 975
3299 3253 -606
7628 524 553
7176 4309 -16
1913 2005 -664
2878 3772 92
622 804 33
5519 130 355
5428 6963 -764
6541 8918 771
8523 4161 757
6274 1287 -305
4799 8056 352
7717 1541 -744
6130 2861 -388
3440 8152 -112
2698 670 -679
5334 6878 784
6337 235 334
3639 1342 886
4848 827 -500
8725 9025 -267
2179 8956 373
6620 7276 111
3137 9159 158
4649 3464 640
7817 1076 -809
5352 578 277
8954 7871 -815
613 4352 874
746 5746 976
4835 2412 897
5272 5160 -251
3896 4569 -120
4920 843 447
2271 9329 877
2382 6982 813
1574 2115 701
7532 6190 241
1532 1989 -164
9325 5326 -64
7970 314 -329
4822 4123 -365
1175 8959 -214
6170 5072 578
1647 3416 -875
2676 7708 886
701 2088 772
476 4955 -806
4356 7679 -530
7536 6571 604
7483 5555 -109
9251 1776 -314
3281 9443 444
1516 8685 33
5770 2293 -282
4667 4410 -759
9292 3084 -739
1546 4759 234
2620 8979 -897
451 7734 356
2997 9548 -698
6734 2319 -702
9428 2093 -772
7843 7460 -941
7884 8971 136
5820 4568 -997
5610 2970 -478
5674 819 -210
3050 8289 -807
4126 7327 -562
7146 8074 -758
5940 239 -985
1465 8777 -837
64 7914 199
7477 1034 -427
9503 7086 -150
2246 5262 784
2802 3531 933
692 8874 -827
9290 5494 991
7354 1856 -526
2213 8413 39
325 8343 917
4071 7361 -29
9526 6202 886
369 2674 325
4386 7498 596
468 9472 959
5069 2044 -463
8172 7531 110
773 9626 622
5873 3895 187
438 1561 625
1129 3167 -902
627 4923 -972
2856 3960 552
2664 8091 941
6537 6978 -453
9091 4817 -714
1570 3403 -636
549 3640 473
6575 1211 691
9026 233 547
9276 7911 780
5615 9091 926
7256 3597 332
730 3971 -543
4131 7425 787
4353 1864 -326
5227 4191 195
4049 3294 -75
7617 5365 -267
7004 55 823
6871 8562 482
5148 7762 -526
2316 331 176
8778 7948 -782
3911 6258 169
5799 5177 92
8670 5297 -279
762 450 -966
5890 6388 -23
5279 7786 946
4055 3553 -190
1679 6349 -208
6634 5589 382
6656 892 -352
9083 8360 6
2844 3678 332
4015 1768 -526
6050 7756 -240
7007 8032 985
5574 4045 -106
5482 487 789
6463 2616 927
3790 4804 -847
3889 4052 816
3628 3251 -776
4077 1177 -425
6751 5435 -144
4520 6653 -616
8804 6264 -532
9194 6609 -840
7612 3500 -284
1045 8194 512
5432 4451 -345
2676 8563 -167
3604 4429 913
8733 4940 -725
6468 462 709
2564 7152 987
4719 64 621
7391 512 506
6253 2630 -579
5429 4562 -610
4759 3975 238
8964 5405 22
8301 1644 -345
9231 1842 -6
3952 936 -235
9374 2668 779
3740 4764 262
1181 1045 147
8802 1971 -543
5305 2655 47
7432 8037 -86
8859 1033 -836
4236 3363 -252
4021 819 -741
1946 1721 385
4767 1485 -358
53 7193 -908
6832 4160 131
7766 8291 -992
3940 8938 -492
7869 1737 805
5978 2193 -406
2264 4381 507
5911 1102 -653
5640 1903 12
3369 265 -974
1404 1912 515
3559 3170 448
2240 3698 -221
4092 2024 302
8913 3118 863
6779 2007 -297
4348 8399 946
9276 67 -462
3912 8137 990
4636 260 223
7816 5765 -288
544 9401 745
2146 1941 502
6476 3864 213
1321 805 -552
976 8802 471
5570 8265 306
5128 9144 -128
6822 3463 -893
9596 9115 91
9327 1968 -505
6392 6318 -145
9598 7559 -947
4256 6620 158
7108 7112 -641
8109 8348 -519
9123 2385 762
998 2468 476
938 7082 -292
2839 6246 -894
990 4875 245
7262 6345 -503
1853 2539 361
3500 1327 -135
2699 3844 482
5583 8698 -846
7415 6630 464
7283 1091 567
4554 9546 268
9540 6800 -339
6221 8875 -881
6342 1094 -696
5971 2954 75
5783 7064 729
7785 662 -922
810 5974 865
6934 5400 -644
7589 4588 403
2927 9625 556
5166 7261 34
2687 250 -252
9283 9329 -313
564 2909 546
4343 33 -148
6918 6896 570
4763 2833 184
3290 6856 363
5779 4879 -849
9127 8118 255
717 2934 -679
1293 2302 128
212 6589 914
5741 9126 -30
9071 7956 110
1880 9615 628
7412 6935 -69
5045 4969 958
44 9323 279
255 8784 -708
1115 4444 224
6445 1137 -794
2863 1204 -448
433 7659 -216
3843 8568 -682
6087 3283 -622
8635 4225 -420
66 5060 -826
2325 9613 751
3291 6985 -8
3302 5885 -3
4233 8305 705
2980 478 -496
6940 4192 -66
636 53 912
3580 7410 514
4021 2224 192
8092 8961 -436
2180 5265 728
365 3513 -682
7637 4701 -627
1718 6482 117
6038 7631 506
2197 1983 -30
3821 4115 936
1212 1195 717
6660 2362 246
8767 6353 -522
7943 8271 249
1342 9562 -648
5932 464 157
6659 392 839
946 781 -878
1460 832 336
1079 8948 -664
3588 4322 594
4288 3871 1000
4513 5287 826
7256 6312 -8
8200 2259 -497
248 983 -22
25 9386 -816
6189 8533 -606
3960 6347 381
6547 6793 -815
7283 6375 557
9274 806 -459
4336 1690 -889
2524 735 194
4154 8934 525
8917 2090 635
6489 9498 -627
6926 257 -946
6857 6431 -568
7416 8091 485
789 9371 982
4575 8470 -890
4052 7456 -228
3508 4974 -540
9274 4439 917
7544 493 199
8326 6426 -986
8920 835 -475
9482 976 -450
3723 9296 26
1464 8816 -801
6153 5075 413
8320 1779 921
6483 1581 335
5373 2653 -45
7955 4202 -646
8881 2032 -759
1884 5939 -973
5842 1211 -662
1157 2950 -838
4396 639 497
3250 5324 -532
5098 4416 -321
1397 8773 735
6772 2285 -519
83 6574 -847
6875 4919 15
2371 6009 -556
3679 1558 -70
8213 8203 -33
5306 4425 -439
3897 6662 251
7699 1349 589
9363 5067 -180
3371 9353 837
7562 5225 -506
443 8452 529
5731 3035 -85
440 4094 657
8335 7743 -56
8705 783 -734
217 7071 797
6067 5946 684
1241 971 -932
5069 4729 864
1653 7351 -837
937 1845 -56
3558 4181 -948
5353 6524 -329
8993 6211 0
425 8438 967
5020 7394 502
8856 178 330
1894 4019 -319
703 8719 -964
882 47 -193
94 888 -995
1956 5375 -838
7308 1326 86
4612 7689 -318
6194 9311 365
8475 3923 -320
3398 4950 -511
1194 1433 -593
3503 8927 -426
6550 2212 -176
6950 6094 319
3494 109 -547
9173 3180 457
4413 899 250
2996 7549 -146
522 3945 403
9387 3511 -924
3435 9375 -846
7777 5786 -436
113 8836 -44
7991 1032 112
2158 799 386
5470 8289 542
5452 5049 -994
2408 3736 473
6685 5880 958
1884 1231 -460
1677 1334 -400
4211 8102 -225
1407 3227 829
4016 30 -735
7015 5094 -576
1310 5222 539
6726 6641 92
6080 9042 -597
4132 4359 50
2631 9504 -523
4890 817 636
4036 4730 396
9450 1612 -796
5128 8159 350
1517 9242 483
4699 2392 161
4037 8365 -812
1687 1922 -288
4758 26 983
2627 4557 -140
536 4491 737
1619 7659 752
7732 9418 -230
5649 993 -589
4444 2538 -210
3545 13 893
8307 5631 -664
2052 8532 755
2329 4102 59
194 4030 -853
4723 3829 129
5597 1563 -892
2172 235 7
9226 2776 117
9146 2711 25
9582 74 606
7270 7555 -962
4878 1984 476
7539 2563 -865
2043 4245 568
2690 3683 -777
3248 3033 353
1947 3451 401
2053 5999 -421
1110 8022 -97
2816 1370 -129
9265 6650 -68
2215 2080 -557
323 755 -779
5932 9524 -655
4984 7250 636
1240 2477 44
479 4735 597
457 4042 -916
5884 1032 840
5309 21 992
649 7631 389
2110 4028 -466
9362 8024 909
5014 6200 -701
7144 5657 159
8075 4875 543
2208 2529 -562
5388 704 166
7096 660 965
9313 7217 -869
6165 5095 783
9099 4128 -147
3254 7265 -491
6403 7860 54
3063 1839 -355
5001 9212 591
5924 5358 635
2000 5012 731
5240 664 749
6282 4375 913
8807 993 986
7674 3909 393
2227 2072 -710
3697 3560 -340
3275 3802 377
648 9221 -69
1194 9625 736
523 5462 -949
3369 9288 162
6688 12 -361
2260 2488 -327
7094 7234 855
9069 3152 770
2723 3847 182
3371 3127 768
7973 5479 221
1290 2558 -186
9236 5381 -913
9100 3394 859
4381 8400 -413
3887 1000 -352
2339 4814 -714
3414 3532 -13
9074 463 -483
3522 4244 953
880 6078 587
2478 6757 -2
8295 241 -544
4336 2154 357
5938 9010 -679
4824 3147 655
9477 8750 -295
7327 614 -679
6767 4435 -661
344 2340 630
8061 3309 -471
8913 1114 594
5107 40 141
2201 9276 383
3947 518 67
5860 790 -930
1067 3387 215
8440 3015 -249
4517 1845 -199
2946 169 -471
2272 8352 986
6294 3012 998
3952 7543 -531
2596 4608 -503
4175 4831 -126
2199 3196 -131
7429 1141 -337
5341 3297 -478
7704 5943 -432
591 5908 567
7467 2047 649
5044 3036 -652
8397 5781 -691
7452 3904 -807
5970 5673 -609
6908 8466 -713
7283 8373 -399
7685 2718 920
4525 5304 984
2437 9161 776
6007 7945 119
6880 8361 -701
6397 6567 -443
456 1907 775
3206 3746 -488
493 8468 -884
6912 6859 850
4047 5770 -492
55 210 460
2737 9188 -532
283 4582 -530
8995 7927 -43
3170 4313 -965
5522 712 -562
9081 1094 -150
5646 5777 -41
4400 2576 116
7543 5331 -676
6882 7541 642
1574 8217 -284
1084 5017 -787
6333 1373 769
2006 8645 -459
7901 9088 -505
8226 1256 -128
9396 7158 706
8936 5719 489
6988 7065 -967
9215 3825 851
3714 9463 294
5669 5416 -227
5561 5557 775
3770 5059 517
4614 354 42
8819 6405 23
4475 2380 -177
3939 4965 -150
5774 8910 605
2080 5997 984
5165 1683 -764
5944 9489 -14
7210 8224 -532
978 5974 -28
8859 3167 527
4079 2852 159
789 3421 705
7159 8420 152
5078 3655 192
6883 9509 -435
6052 7397 997
1940 7116 934
9053 8123 -568
3747 6285 -2
3363 7008 -692
3553 7142 -250
7770 6959 681
1647 7529 -736
3952 282 -389
4935 7050 758
1276 1449 458
1286 2417 -874
8576 4755 -517
8722 3146 -773
8629 802 714
4628 8577 267
4450 1781 60
1956 149 -332
6110 3291 586
9594 7830 104
8253 1004 910
4949 2507 -29
4021 5753 24
3253 1662 708
305 9073 -504
254 3300 883
6494 2653 254
5142 5879 -421
8734 7085 -704
2901 1544 -435
3062 2402 -427
1725 561 147
5755 4224 397
4633 7700 92
6188 6108 -656
1031 8789 811
1232 6183 -571
4918 6961 -58
2337 803 -140
5820 8909 97
4816 2867 -286
7257 6406 31
3230 2980 -889
5954 2511 -438
5387 8035 218
6938 2237 237
7239 1812 -938
7259 2082 -175
2385 5989 -465
7217 994 0
9211 576 899
8970 4046 -587
929 6759 -191
2358 3777 2
1553 4601 -376
6824 2271 -564
844 4394 -853
33 7431 840
2396 8726 515
6185 38 -932
3861 3313 -719
9532 4646 512
6673 2054 -452
7526 9188 799
494 4243 197
190 3791 81
2779 6871 -493
6041 9588 464
256 1731 -462
3857 563 868
8338 6288 -455
1866 9049 -233
3945 9029 930
4699 9502 -168
4988 272 -409
4534 7771 -463
7175 6632 329
1570 9363 -914
7124 7894 294
6166 8945 -423
276 2646 249
3276 1753 792
3084 1278 632
4388 869 -463
6195 8993 -757
1491 638 445
5951 5491 702
9343 1483 -840
5858 3845 353
3326 7718 557
4148 6111 854
9489 4912 359
157 8554 160
8448 8997 396
2044 8898 474
2392 6032 225
5449 4607 -41
5111 125 -775
2971 3708 -64
2568 7416 985
8401 6202 -171
4296 5346 532
3670 7701 -83
6036 8340 901
4937 1126 -491
1137 3268 -104
4992 8982 246
1189 1303 79
7009 6994 159
242 519 948
8856 1431 295
8601 2396 -621
9186 2383 -165
8604 9320 547
3628 228 -39
8810 2054 517
4115 3803 -895
250 8273 -199
9493 2691 -763
4281 1846 568
9530 9144 -217
856 177 -355
7594 6019 646
6445 2017 -163
2886 852 771
7087 9098 -67
4707 3775 -491
7809 9365 338
8932 7937 425
8417 7471 993
5354 7730 -796
1975 5916 -699
2487 1006 -716
9277 6678 757
3559 4489 -444
8107 1662 -371
7141 5278 861
3703 716 -276
8766 6845 480
8515 2972 -51
9164 4825 487
4765 1884 527
1799 3741 -99
4156 3931 399
23 1942 1
3573 5452 594
1362 3019 68
1552 2490 877
3164 7157 866
3481 1263 -893
8856 8462 -796
6103 4295 -62
4013 3982 631
2388 366 -557
4232 9515 76
2524 776 -659
749 1483 591
533 2450 306
7118 626 -518
6647 7058 -963
47 1631 -913
4100 6147 434
6241 1122 787
5708 9457 -901
8925 3282 562
2497 4449 514
8883 2987 -541
1183 7306 81
9090 2540 966
3456 1040 -165
3235 2896 150
3757 3883 375
5150 8792 -736
946 2754 -971
6828 9130 -144
2223 8403 95
773 2628 -866
6997 3911 -270
637 9543 -658
2212 3586 347
7160 5425 -788
2758 3053 -722
3570 9059 127
7611 6287 141
4480 8363 446
826 1662 -860
8392 3122 -167
4025 4886 -741
7475 9446 -86
3470 5067 690
5609 2386 -984
450 5994 725
2652 9256 -626
8173 4858 480
7698 6654 -948
8787 5261 -778
8652 4415 -96
3612 6086 -519
3498 6183 -996
9063 6447 788
279 1009 -838
9206 8468 -32
4912 7058 -895
4748 1254 -565
3880 6559 -281
4483 6251 462
3422 7402 281
4866 527 -379
6175 6730 291
5363 2761 516
3555 657 494
2174 5078 757
8590 8664 -475
3422 3330 41
4924 2772 -681
2263 1072 643
3314 8685 -106
2783 1981 244
698 3404 -50
6964 1206 -796
818 1002 115
9530 7350 -667
7529 6506 385
940 8813 -415
6220 8514 971
4294 4344 638
5544 4425 -270
9441 1407 -725
4085 4091 -265
2225 4368 994
884 1509 -178
8583 8224 54
1472 3058 191
1744 8843 -506
9059 8360 -863
9256 9161 -24
2611 3180 -373
5948 2252 691
2119 4542 -651
1676 9468 -404
5418 5305 -188
4247 935 267
1005 9212 156
2682 6669 -801
3310 8587 151
5931 1126 485
4236 2631 973
4563 1877 -960
4239 8000 -763
144 2865 199
5289 4254 918
9279 8710 -939
7980 5523 -538
8576 7386 255
1044 7899 469
4678 7692 11
7720 8971 -583
4314 6726 526
3952 4099 524
1816 3478 280
9108 2280 -469
1152 3252 -898
8298 5115 -26
4523 5289 782
6317 3979 817
5869 7985 311
5365 4745 -526
8617 4411 -367
6632 3581 784
1667 8502 -443
5331 8290 493
2714 4101 558
9087 7966 -159
4274 5988 -738
2080 8996 807
5649 3570 788
7356 5165 938
2732 6255 606
5432 5035 -851
6652 6079 -851
3787 6323 -900
7951 8471 -194
9125 578 -281
1808 4469 -420
9457 6553 660
384 1172 -513
1306 4974 -75
8883 81 399
44 9241 -685
3025 6182 357
6712 5344 79
940 874 747
5483 5067 644
2628 2071 545
1423 8290 567
8800 1598 189
1066 6578 -273
8522 749 841
9376 8893 -43
1782 9432 -724
3586 7886 331
8914 6071 -221
9451 4076 -188
3005 3675 436
5394 9444 -57
727 8259 -475
3154 2735 -538
8615 2236 200
9442 1749 648
5594 8697 -297
3962 4525 -652
592 2559 456
8727 3486 116
8229 3443 -692
4577 8801 -707
1626 3293 -800
6018 4679 691
7328 4179 -614
2423 5136 -750
6573 5292 225
8647 9400 26
5915 1311 960
8157 7675 301
5823 2240 -964
1351 535 132
4278 2675 227
1209 1871 -979
2900 5444 -917
934 463 589
4052 8980 -180
3 5770 12
3411 6246 642
4137 8280 369
7024 2542 -121
8880 8140 -431
469 7154 -330
2120 7274 809
5153 7589 -918
1683 6894 -840
4345 6750 484
3401 4917 925
2701 765 420
9138 1102 392
5343 9148 -856
9000 5721 38
825 4179 141
222 2874 -137
7969 5777 -898
7572 6142 -593
1481 1801 279
7302 8537 830
3107 7183 956
8978 2820 545
983 5876 351
3618 6499 288
9373 9137 368
4060 4144 -513
5018 5823 -419
5799 1527 -387
2651 3852 -122
2686 1832 648
5990 5407 415
5410 2530 25
7955 6679 -257
7685 4657 -207
9134 6274 -483
3766 4552 -894
7928 1319 -818
5693 1106 -680
1521 630 -222
968 2081 -116
2744 6060 808
1312 5686 460
2609 647 918
437 1717 -15
8351 8757 1000
4331 1390 -13
9207 6439 -835
4234 6631 165
6090 7041 -806
1219 9229 929
3469 8138 952
7637 8931 -257
2421 7957 -1000
7794 3614 -353
4112 1599 744
4174 597 -882
4376 3760 -801
4344 5606 905
6105 3991 59
106 3572 -906
1917 2250 -895
1834 5850 -735
6567 9237 -193
5438 5142 -817
3794 6315 -137
4898 4745 683
890 610 564
1021 3925 504
4380 2626 -497
6463 1101 398
4589 5021 -538
7310 2696 755
8922 1067 829
2095 4972 429
2207 8894 208
7235 4708 -711
8635 3421 452
2418 3269 767
1846 8225 779
6853 2942 549
6291 2981 961
2506 8559 -702
3198 685 783
200 1652 789
3035 373 -448
2467 823 -757
2962 9193 -662
2839 507 -65
4370 6159 447
3669 5798 788
8336 3231 119
1958 32 -908
5 1602 870
4294 7507 -479
9448 7164 -996
5292 7925 -976
5412 4365 -961
9446 1473 780
1560 2795 -648
7694 4598 133
2981 7044 709
6300 4829 -102
1414 5942 -275
4724 9017 731
8279 1130 453
8189 1707 487
5151 5260 -669
5502 7840 -893
4645 5272 -735
707 3377 697
6593 6221 -296
7649 5691 -686
8673 9447 -953
8899 7748 -137
5002 6617 637
1701 9143 880
7720 2647 -892
8960 4683 334
8879 2482 -857
8721 5486 -685
7297 1894 -231
3326 2299 89
5290 8919 15
9381 4186 -684
619 2565 -913
7132 6756 -66
1579 6837 -610
8185 7817 -776
2288 9326 925
1465 3049 -695
9257 8513 155
2782 5776 -353
2341 8472 -190
6631 5563 -844
2816 5125 -983
8548 2050 -966
8194 1205 -850
5814 4984 -799
595 1892 538
9345 8108 -667
4766 5793 -509
8442 5104 -584
940 1668 435
5225 1452 645
6246 6217 -411
506 5848 -594
7806 4417 -700
8453 7480 66
2373 58 -831
4209 5581 -868
807 9441 -581
5119 2637 971
2836 603 99
1970 7169 -278
3228 3314 310
2787 2034 390
4744 2152 945
6892 9107 698
4710 4974 721
3390 339 304
1465 6747 361
1107 6051 -809
8986 37 -442
5967 2736 410
2176 9120 616
7972 6645 423
3894 7590 143
6261 7957 656
3861 8922 51
4110 8456 -556
2473 3733 905
7406 1743 434
5649 924 -180
6383 6088 -721
1644 7903 571
8895 4791 887
7732 7141 -622
3739 6689 542
9571 1113 -476
6637 7831 637
1155 5909 242
2080 1467 346
3244 4815 -663
3459 1762 -892
4793 1293 -459
8657 2261 841
9092 5216 264
8375 3893 158
6115 6827 441
894 7585 897
4112 5281 421
968 9489 491
6519 2736 890
2032 5214 433
8990 7031 893
1335 3263 320
4515 6721 839
1957 7331 325
4938 2674 -370
7599 8575 432
7953 5377 -598
9231 448 453
4956 1767 274
4174 7614 930
3999 4089 -468
2292 8279 675
6034 1245 -397
2263 7341 274
4692 8776 -946
2495 6906 111
6541 1189 -57
4623 1825 711
156 8624 714
1114 3196 80
7000 6999 504
1250 4128 679
