848 854
415 214 -863
311 566 619
844 809 -740
110 499 943
435 604 170
532 478 364
229 198 -798
22 246 -34
455 278 -234
709 254 315
278 162 550
562 229 -651
336 736 887
519 135 -815
652 796 -3
306 556 -824
146 167 -184
360 402 -588
506 182 -477
202 471 -312
528 483 301
520 74 -681
494 219 973
568 185 505
116 715 -568
595 620 -409
784 654 65
702 846 139
426 459 91
687 570 -142
220 107 773
447 627 582
203 461 -987
402 469 325
303 535 -769
771 655 472
102 677 450
509 686 83
642 233 -5
663 478 742
258 792 638
140 791 -429
643 371 -15
831 537 -627
298 560 -165
238 74 517
216 2 -22
189 434 -829
385 145 495
653 815 -670
593 358 7
73 847 341
151 217 -657
652 12 188
111 372 762
736 614 -500
528 820 787
98 535 -159
545 717 860
2 443 81
709 27 625
149 565 6
79 187 362
209 618 -683
292 795 818
34 675 -307
36 667 -682
325 736 -918
464 643 -388
255 229 -773
77 265 584
109 66 -546
517 397 -311
701 596 -211
365 480 928
528 589 -448
618 229 894
571 758 -412
437 52 -678
27 389 628
345 487 298
480 786 57
38 149 -661
734 683 864
491 401 -45
730 254 565
372 717 -276
650 168 -977
387 677 -237
54 230 -82
550 729 -706
177 197 910
68 202 594
777 84 960
678 575 931
107 739 -564
337 543 -864
519 522 39
623 636 -235
619 13 -639
528 177 -703
830 457 828
487 371 -807
725 264 247
464 271 424
570 296 553
404 750 -984
68 112 459
744 16 617
332 113 -415
741 402 383
452 11 553
274 779 241
142 536 -219
431 768 430
2 385 -433
289 673 -241
51 26 -907
616 546 147
127 581 145
643 331 876
314 762 -904
271 787 541
848 358 -743
490 822 -618
373 13 -857
412 420 -447
327 514 -466
43 460 -193
13 296 -881
681 189 -547
620 97 -737
524 308 189
637 840 -496
764 518 -988
567 300 315
329 843 -802
385 489 641
437 256 -15
407 144 729
14 512 -643
100 785 -915
308 632 538
699 317 -36
318 698 -710
716 584 -786
17 266 -754
408 109 132
836 437 -924
256 96 117
386 623 -183
652 619 950
245 22 -994
737 669 9
708 429 139
340 640 -123
708 84 -140
203 333 497
594 278 -329
498 268 470
628 276 602
656 510 -737
563 772 -299
679 574 -374
126 145 185
671 86 528
336 60 -271
589 122 -781
802 529 -805
7 688 63
141 223 455
529 147 890
572 428 -684
176 323 266
399 261 376
44 740 -190
220 696 -33
654 272 242
238 274 -715
683 551 -483
483 697 92
289 605 -937
590 90 -696
770 373 639
383 285 443
614 410 414
695 314 -675
726 348 -73
161 136 827
129 170 213
109 5 -870
118 587 -742
336 844 162
127 162 -434
94 100 881
708 363 933
495 646 -846
449 320 -785
217 681 200
127 617 724
766 345 -457
439 241 -433
383 551 534
754 95 -108
387 94 522
38 643 650
261 640 -140
441 308 833
269 319 643
224 619 -243
389 212 900
193 709 464
369 848 -383
42 693 334
300 749 -917
610 38 -971
542 668 45
224 779 -691
746 252 -253
592 271 880
492 404 755
789 109 802
793 163 -3
385 630 -601
62 436 571
324 609 353
130 504 559
634 702 -472
813 684 100
787 272 848
128 660 900
380 635 -616
838 30 704
680 643 494
312 762 -256
39 386 -108
640 576 90
568 534 -50
278 688 -229
620 269 -695
356 237 -161
104 384 538
337 338 804
469 525 23
381 468 -14
406 35 -20
123 760 -693
347 304 -278
295 640 -466
198 500 -883
275 593 -264
41 94 -377
99 660 -584
122 404 834
616 621 374
658 577 -481
301 724 613
598 181 376
411 406 67
74 29 -109
683 97 -473
347 690 -266
668 727 -334
481 484 -971
61 554 -138
77 277 -663
719 795 170
169 666 -517
252 32 -767
730 840 -884
473 300 225
339 614 -901
691 320 -588
568 627 -949
827 749 -874
38 533 -563
64 795 -294
594 98 877
21 772 655
445 634 48
441 805 638
37 847 -699
818 508 278
326 517 -16
197 811 648
615 313 866
559 260 -179
439 133 570
828 791 29
447 494 -636
19 486 -4
681 635 758
514 14 -192
101 770 724
86 145 261
633 547 922
706 182 363
419 513 635
277 516 399
39 144 910
456 382 500
757 471 232
716 697 -928
98 547 918
190 455 60
36 510 -700
641 429 -483
744 317 -311
235 190 314
211 29 -483
515 556 127
358 94 -603
348 128 672
509 508 720
418 160 -300
763 491 -396
383 505 871
583 42 -249
730 503 -337
686 209 -28
601 202 864
640 781 -960
242 188 -796
102 484 -114
219 552 -950
637 731 -466
100 550 -59
229 411 987
637 607 821
835 706 894
798 79 -577
303 244 -81
689 260 -365
452 587 460
389 92 -253
715 726 -274
347 393 -152
120 757 122
838 804 500
391 329 761
414 593 634
460 788 -998
183 330 -330
172 89 -925
305 356 -256
463 83 -586
345 191 810
121 472 -79
328 317 -194
531 671 253
655 759 -97
820 775 -901
75 104 -952
2 574 -901
652 218 156
523 691 780
706 61 -692
815 827 25
89 192 -899
593 646 113
692 170 -97
724 619 526
824 529 950
194 64 66
500 365 14
24 246 -383
264 370 -29
181 614 409
758 127 632
297 837 -330
277 512 -356
221 407 -58
134 564 -942
581 40 -792
376 608 -724
505 374 885
723 353 720
724 532 -874
315 660 -596
241 818 79
447 711 303
82 71 365
713 400 -548
585 564 235
259 140 -25
176 351 -48
820 223 -137
370 580 893
683 712 -111
99 101 650
149 471 255
119 363 -875
557 66 194
647 499 348
828 789 -445
356 353 323
523 265 828
578 454 70
733 52 -4
243 294 -869
56 799 -804
440 811 970
626 79 504
216 374 398
230 35 273
72 763 -502
540 679 413
127 239 -308
155 737 -948
523 345 456
267 76 -525
391 665 81
806 780 -574
206 21 74
23 665 -891
53 451 891
705 485 -833
305 240 -371
535 469 -990
193 538 892
102 350 -72
566 113 972
237 769 -679
320 32 -612
48 444 305
797 344 -161
193 82 -458
581 765 -463
307 442 -847
428 540 -312
538 663 -370
392 23 -790
170 729 -232
502 708 485
838 91 -124
311 775 256
798 5 490
831 768 -226
831 721 -592
73 94 -177
62 256 459
518 711 -541
638 791 -192
352 95 109
245 51 449
311 277 -841
417 343 -340
312 391 570
66 409 -740
566 570 -946
795 220 -206
566 336 -135
811 185 911
109 93 63
693 396 830
54 470 -968
789 228 -473
561 769 -597
163 688 -352
45 43 640
228 61 78
834 59 -384
742 642 -4
302 370 -243
542 275 446
726 267 -92
630 540 -234
170 658 -590
674 485 -766
282 237 -370
504 645 -472
528 574 -770
99 220 -403
135 669 816
826 348 -956
762 388 -235
343 615 226
252 681 -570
101 80 854
325 530 90
744 331 -433
340 281 -982
268 143 822
47 245 541
341 472 302
137 259 943
459 786 -67
574 173 792
278 567 -999
575 159 949
743 232 -665
622 808 -984
111 234 -8
251 44 -484
804 111 149
806 184 -308
203 691 -711
420 610 146
706 190 -399
670 623 464
627 575 213
91 82 485
764 216 830
565 549 666
689 248 -693
140 106 501
742 276 -216
848 325 -611
502 382 -452
376 656 -357
837 60 791
278 545 -632
394 407 638
37 460 -711
779 681 7
353 739 881
85 520 419
194 636 -802
816 169 341
26 91 640
151 642 772
782 513 -193
253 543 -924
255 625 698
287 528 -701
73 323 -646
174 675 99
236 457 389
610 400 930
643 273 -663
771 92 -315
260 342 -351
159 548 584
702 492 466
193 842 669
86 141 187
28 412 -993
728 578 518
637 441 953
504 315 -273
358 215 314
245 139 870
536 745 -301
13 846 -382
786 501 729
72 562 -192
453 398 -384
254 158 900
501 182 772
771 195 220
210 819 245
144 114 537
723 555 66
644 68 -943
469 691 -944
601 78 563
784 178 548
